loan_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,delinq_2yrs,pub_rec_bankruptcies,loan_status
24000, 60 months,16.99,596.34,10+ years,MORTGAGE,115000,0,0,Fully Paid
13000, 60 months,9.49,272.97,10+ years,MORTGAGE,60000,1,0,Fully Paid
10000, 60 months,15.99,243.13,10+ years,OWN,105000,0,0,Current
2500, 36 months,11.99,83.03,4 years,RENT,28000,0,0,Fully Paid
30000, 36 months,11.55,990,3 years,MORTGAGE,132000,0,0,Fully Paid
8000, 36 months,10.08,258.44,< 1 year,OWN,40000,0,1,Current
15000, 36 months,11.99,498.15,2 years,RENT,37399,0,1,Fully Paid
10000, 60 months,15.59,241.01,10+ years,MORTGAGE,36100,0,1,Current
19900, 36 months,9.99,642.03,,MORTGAGE,149000,0,0,Fully Paid
9600, 36 months,8.39,302.56,8 years,MORTGAGE,400000,0,0,Fully Paid
24575, 36 months,14.3,843.51,7 years,RENT,55000,0,0,Fully Paid
23300, 60 months,18.99,604.29,3 years,RENT,108000,1,1,Late (31-120 days)
10200, 60 months,13.33,233.81,4 years,MORTGAGE,100000,2,0,Current
19025, 60 months,13.99,442.58,3 years,MORTGAGE,127000,0,1,Current
15000, 36 months,12.49,501.74,8 years,MORTGAGE,70000,0,1,Fully Paid
10000, 60 months,17.97,253.78,4 years,MORTGAGE,120000,0,0,Current
14800, 60 months,16.55,364.25,10+ years,RENT,102000,0,1,Fully Paid
29400, 60 months,20.5,787.13,10+ years,MORTGAGE,123000,0,0,Fully Paid
32000, 36 months,12.62,1072.36,8 years,OWN,199992,0,0,In Grace Period
8250, 36 months,10.91,269.75,10+ years,MORTGAGE,57032,0,0,Fully Paid
35000, 36 months,7.9,1095.16,2 years,MORTGAGE,85000,0,0,Charged Off
5000, 36 months,12.74,167.85,< 1 year,MORTGAGE,45760,0,0,Charged Off
5000, 36 months,6.07,152.27,2 years,MORTGAGE,50000,0,0,Current
19000, 60 months,15.05,452.51,,RENT,45000,0,0,Current
24000, 60 months,25.81,715.88,1 year,RENT,67000,0,0,Current
13500, 36 months,9.99,435.55,8 years,MORTGAGE,104112,0,0,Fully Paid
30000, 36 months,24.37,1182.83,5 years,RENT,90250,0,1,Current
35000, 60 months,24.99,1027.1,6 years,MORTGAGE,91000,1,0,Fully Paid
9000, 36 months,12.74,302.12,2 years,RENT,75000,0,0,Current
35000, 36 months,16.55,1240.03,10+ years,MORTGAGE,70000,0,0,Fully Paid
12000, 36 months,13.35,406.36,10+ years,MORTGAGE,61000,0,0,Fully Paid
8000, 36 months,18.49,291.19,2 years,RENT,37000,0,0,Fully Paid
20000, 36 months,11.06,655.35,< 1 year,MORTGAGE,200000,0,0,Current
1850, 36 months,11.99,61.44,< 1 year,RENT,42000,0,0,Fully Paid
15000, 60 months,16.02,364.94,4 years,MORTGAGE,65000,4,0,Current
11200, 60 months,16.99,278.29,4 years,MORTGAGE,93000,0,0,Fully Paid
20000, 60 months,20.99,540.96,10+ years,RENT,79000,0,0,Charged Off
15000, 60 months,11.99,333.6,5 years,RENT,65000,0,0,Current
11500, 36 months,6.46,352.26,10+ years,MORTGAGE,98000,0,1,Current
22000, 36 months,6.49,674.18,10+ years,RENT,79000,1,0,Fully Paid
3200, 36 months,13.49,108.58,1 year,MORTGAGE,30000,0,0,Fully Paid
35000, 60 months,19.99,927.1,10+ years,MORTGAGE,160000,0,1,Charged Off
8000, 36 months,16.02,281.34,< 1 year,MORTGAGE,95000,0,0,Current
15000, 60 months,10.75,324.27,9 years,MORTGAGE,110000,0,0,Current
18000, 36 months,16.99,641.66,10+ years,MORTGAGE,36000,3,0,Current
12000, 60 months,19.52,314.74,6 years,MORTGAGE,43000,0,0,Current
25000, 60 months,18.99,648.38,1 year,OWN,90000,0,0,Current
18000, 36 months,7.46,559.59,2 years,RENT,80000,0,0,Current
26400, 60 months,15.61,636.54,10+ years,MORTGAGE,91000,1,0,Fully Paid
8000, 36 months,12.74,268.56,10+ years,RENT,70000,0,0,Current
5000, 60 months,7.9,101.15,10+ years,RENT,81240,0,0,Fully Paid
6000, 36 months,7.07,185.46,10+ years,MORTGAGE,70000,0,0,Fully Paid
2000, 36 months,23.88,78.34,10+ years,RENT,50000,0,1,Fully Paid
19000, 60 months,8.88,237.54,5 years,RENT,72000,0,0,Fully Paid
7300, 36 months,8.9,231.8,9 years,RENT,48000,0,0,Fully Paid
7000, 36 months,15.02,242.73,3 years,RENT,50000,1,0,Current
30000, 36 months,15.31,1044.52,10+ years,RENT,100000,0,0,Fully Paid
18000, 36 months,12.88,605.46,< 1 year,RENT,85000,0,0,Fully Paid
30300, 36 months,13.44,1027.37,,MORTGAGE,98000,0,0,Fully Paid
15000, 60 months,12.12,334.58,2 years,MORTGAGE,66000,0,0,Fully Paid
25000, 36 months,16.99,891.2,4 years,MORTGAGE,75000,0,0,Current
9600, 36 months,11.53,316.71,< 1 year,RENT,30912,0,0,Charged Off
15000, 36 months,7.89,469.29,7 years,MORTGAGE,110000,0,0,Fully Paid
9000, 36 months,6.83,277.2,1 year,OWN,45000,0,0,Current
16000, 36 months,7.89,500.58,7 years,MORTGAGE,60000,0,0,Fully Paid
30000, 36 months,7.97,939.68,4 years,OWN,160000,0,0,Current
10000, 36 months,13.49,339.31,,MORTGAGE,73000,1,0,Fully Paid
10000, 36 months,11.49,329.72,,OWN,56000,0,1,Fully Paid
24000, 36 months,9.25,765.99,9 years,MORTGAGE,177000,0,0,Fully Paid
3500, 36 months,20,130.08,,MORTGAGE,39408,0,1,Current
6000, 36 months,18.55,218.58,4 years,MORTGAGE,90000,0,0,Charged Off
23850, 36 months,12.99,803.49,10+ years,MORTGAGE,84470,0,0,Fully Paid
20150, 60 months,15.31,482.66,3 years,MORTGAGE,70000,0,0,Fully Paid
15000, 36 months,12.74,503.54,< 1 year,RENT,60000,0,0,Charged Off
7200, 36 months,7.21,223.01,2 years,RENT,40000,0,0,Current
4800, 36 months,19.52,177.22,10+ years,RENT,54000,0,0,Fully Paid
7500, 36 months,15.61,262.24,4 years,MORTGAGE,100000,0,0,Fully Paid
8000, 36 months,12.88,269.09,< 1 year,RENT,127000,0,0,Fully Paid
33400, 36 months,13.33,1130.7,10+ years,MORTGAGE,100000,0,0,Fully Paid
4000, 36 months,10.99,130.94,7 years,RENT,60000,2,0,Fully Paid
9000, 36 months,13.59,305.81,10+ years,OWN,52000,1,0,Fully Paid
19500, 36 months,15.61,681.82,6 years,MORTGAGE,103200,0,0,Fully Paid
35000, 36 months,18.75,1278.55,10+ years,MORTGAGE,105000,0,0,Fully Paid
18000, 60 months,15.22,430.31,2 years,MORTGAGE,46000,0,0,Fully Paid
10000, 60 months,15.05,238.17,7 years,RENT,36000,0,0,Current
11400, 36 months,15.61,398.6,< 1 year,RENT,53000,0,0,Fully Paid
10000, 36 months,12.62,335.12,1 year,RENT,108270,0,0,Current
10000, 36 months,8.46,315.5,10+ years,MORTGAGE,154000,0,0,Current
14000, 36 months,14.49,481.83,5 years,OWN,65000,0,0,Fully Paid
10750, 60 months,20.2,286.01,4 years,MORTGAGE,31000,0,0,Charged Off
10000, 60 months,16.55,246.12,1 year,RENT,73000,1,0,Current
35000, 36 months,10.49,1137.43,8 years,MORTGAGE,200000,0,1,Fully Paid
10000, 36 months,14.31,343.29,10+ years,RENT,28700,0,0,Fully Paid
10650, 36 months,14.48,366.48,5 years,MORTGAGE,37000,0,0,Charged Off
7675, 36 months,6.92,236.71,,RENT,33100,0,0,Fully Paid
10000, 60 months,12.61,225.54,10+ years,MORTGAGE,31900,0,0,Current
5000, 36 months,13.99,170.87,< 1 year,MORTGAGE,40000,0,1,Fully Paid
4000, 36 months,23.4,155.68,10+ years,MORTGAGE,90000,0,0,Current
7825, 36 months,8.49,246.98,,MORTGAGE,40968,0,0,Charged Off
15000, 36 months,6.24,457.97,10+ years,MORTGAGE,92000,0,0,Charged Off
28800, 60 months,15.61,694.41,7 years,MORTGAGE,98500,1,0,Fully Paid
5000, 36 months,12.69,167.73,8 years,MORTGAGE,50000,4,1,Fully Paid
15000, 60 months,10.42,321.82,9 years,RENT,85000,0,0,Fully Paid
12500, 36 months,12.62,418.9,10+ years,MORTGAGE,53700,0,0,Current
8000, 36 months,10.99,261.88,10+ years,MORTGAGE,110000,0,0,Fully Paid
15000, 36 months,16.99,534.72,5 years,RENT,102000,0,0,Charged Off
16000, 60 months,14.98,380.48,10+ years,RENT,52000,0,0,Fully Paid
15000, 36 months,5.32,451.73,5 years,MORTGAGE,100000,0,0,Fully Paid
6000, 36 months,11.47,197.78,10+ years,OWN,70000,0,0,Fully Paid
11000, 60 months,17.47,276.17,7 years,RENT,59000,1,0,Charged Off
2000, 36 months,9.93,64.47,< 1 year,RENT,66300,0,0,Current
14000, 60 months,13.99,325.69,3 years,MORTGAGE,37500,0,0,Current
25000, 36 months,6.89,770.68,10+ years,MORTGAGE,83000,1,0,Fully Paid
6000, 36 months,19.99,222.96,10+ years,MORTGAGE,93000,0,0,Fully Paid
20000, 60 months,7.89,404.48,,MORTGAGE,86000,0,0,Fully Paid
5000, 36 months,5.99,152.09,3 years,OWN,50000,0,0,Fully Paid
8450, 36 months,12.12,281.15,6 years,MORTGAGE,90000,1,0,Fully Paid
4000, 36 months,12.98,134.74,3 years,RENT,31500,0,0,Current
5700, 36 months,11.49,187.94,10+ years,OWN,15000,0,0,Fully Paid
9000, 36 months,5.32,271.04,1 year,MORTGAGE,90000,0,1,Current
20000, 36 months,16.2,705.12,6 years,RENT,55000,1,0,Charged Off
12000, 36 months,9.17,382.55,,RENT,41000,0,1,Fully Paid
7000, 36 months,12.73,234.95,4 years,RENT,35200,0,0,Current
28000, 36 months,8.24,880.53,10+ years,MORTGAGE,100000,0,0,Fully Paid
6875, 36 months,13.49,233.28,,RENT,16400,0,0,Current
12000, 36 months,8.39,378.2,10+ years,MORTGAGE,100000,0,0,Fully Paid
5000, 36 months,11.49,164.86,< 1 year,MORTGAGE,55000,0,1,Fully Paid
16000, 60 months,30.75,525.05,7 years,MORTGAGE,55000,0,0,Fully Paid
15225, 36 months,8.24,478.79,3 years,MORTGAGE,150000,2,0,Current
10000, 36 months,13.59,339.79,10+ years,RENT,50000,0,0,Fully Paid
35000, 60 months,15.77,846.87,1 year,MORTGAGE,110000,0,1,Fully Paid
10000, 36 months,7.59,311.48,2 years,MORTGAGE,67000,0,0,Current
35000, 60 months,17.97,888.2,,OWN,136973.28,0,0,Current
2250, 36 months,19.72,83.3,,RENT,16684,0,0,Charged Off
15000, 36 months,7.62,467.43,2 years,OWN,60000,0,0,Fully Paid
6000, 36 months,7.21,185.84,6 years,OWN,53000,0,0,Current
16000, 60 months,15.59,385.62,8 years,MORTGAGE,98000,0,0,Fully Paid
3600, 36 months,30.17,153.17,1 year,MORTGAGE,48882,1,0,Current
12000, 36 months,11.99,398.52,3 years,OWN,107000,1,0,Fully Paid
29000, 60 months,7.69,583.73,10+ years,MORTGAGE,72000,0,0,Current
30000, 36 months,17.47,1076.62,7 years,RENT,110000,1,0,Current
10000, 60 months,18.94,259.08,,RENT,26000,0,1,Fully Paid
30000, 36 months,6.67,921.8,10+ years,RENT,55000,0,0,Current
23000, 60 months,13.59,530.3,10+ years,OWN,97500,0,0,Current
3000, 36 months,15.02,104.03,10+ years,MORTGAGE,80000,0,0,Current
16000, 36 months,7.99,501.31,10+ years,OWN,95000,0,0,Current
12000, 36 months,7.97,375.88,10+ years,MORTGAGE,52000,0,0,Current
12000, 36 months,6.08,365.5,10+ years,MORTGAGE,60000,0,0,Fully Paid
15000, 36 months,11.44,494.22,10+ years,MORTGAGE,90000,0,0,Current
15000, 36 months,6.11,457.08,8 years,MORTGAGE,90000,0,0,Current
10000, 60 months,10.49,214.89,10+ years,RENT,115000,0,0,Current
13000, 36 months,9.71,417.71,6 years,MORTGAGE,90000,0,0,Fully Paid
7200, 36 months,15.05,249.77,10+ years,MORTGAGE,85000,2,0,Current
19000, 36 months,6.11,578.97,10+ years,MORTGAGE,80000,0,0,Current
25850, 60 months,25.99,773.81,10+ years,MORTGAGE,81000,0,1,Charged Off
18000, 36 months,6.89,554.89,10+ years,MORTGAGE,121086.42,0,0,Fully Paid
35000, 36 months,8.46,1104.22,10+ years,OWN,106000,0,0,Current
7500, 36 months,10.08,242.29,5 years,MORTGAGE,42000,0,0,Current
34950, 60 months,26.24,1051.4,10+ years,RENT,85000,0,0,Charged Off
32075, 60 months,27.31,985.38,10+ years,MORTGAGE,89100,0,0,Charged Off
13000, 36 months,21.49,493.06,10+ years,RENT,117000,0,0,Fully Paid
12000, 36 months,10.49,389.98,9 years,MORTGAGE,40000,1,0,Current
5000, 36 months,8.39,157.59,10+ years,MORTGAGE,134000,0,0,Fully Paid
32000, 36 months,10.75,1043.86,10+ years,OWN,120000,0,1,Fully Paid
5000, 36 months,7.97,156.62,1 year,MORTGAGE,65000,0,0,Charged Off
16200, 60 months,13.33,371.35,10+ years,RENT,100000,0,0,Current
23725, 36 months,14.49,816.53,10+ years,RENT,112000,0,1,Charged Off
6000, 36 months,15.8,210.36,10+ years,RENT,60000,0,0,Fully Paid
25000, 60 months,25.57,742.17,1 year,MORTGAGE,89870,2,0,Current
16650, 36 months,12.74,558.93,< 1 year,MORTGAGE,60000,0,0,Fully Paid
5200, 36 months,12.49,173.94,9 years,RENT,50000,0,1,Fully Paid
32000, 60 months,29.99,1035.12,8 years,RENT,80000,0,1,Current
8000, 36 months,16.01,281.3,3 years,RENT,30000,0,0,Fully Paid
10000, 36 months,14.98,346.56,10+ years,MORTGAGE,100000,0,0,Charged Off
3000, 36 months,10.07,96.91,10+ years,MORTGAGE,130000,0,1,Current
20000, 60 months,14.99,475.7,5 years,MORTGAGE,85000,0,0,Current
30000, 60 months,14.31,702.88,1 year,MORTGAGE,110000,0,0,Fully Paid
8000, 36 months,11.44,263.58,5 years,RENT,70600,0,1,Fully Paid
6000, 36 months,9.99,193.58,10+ years,RENT,35000,0,0,Charged Off
10000, 36 months,16.29,353.01,10+ years,RENT,46500,0,0,Fully Paid
14000, 36 months,5.93,425.47,10+ years,MORTGAGE,55000,0,0,Fully Paid
16000, 60 months,18.06,406.82,2 years,RENT,40000,0,0,Fully Paid
24575, 60 months,16.29,601.41,10+ years,MORTGAGE,55000,0,0,Fully Paid
10000, 60 months,24.85,292.64,4 years,RENT,35000,0,0,Late (31-120 days)
3200, 36 months,9.44,102.42,1 year,MORTGAGE,75000,0,0,Fully Paid
19000, 60 months,19.53,498.43,4 years,MORTGAGE,200000,6,0,Current
8400, 36 months,10.75,274.02,2 years,RENT,54000,0,0,Fully Paid
15000, 36 months,10.47,487.33,4 years,RENT,68000,0,0,Current
7500, 36 months,8.39,236.38,10+ years,RENT,90000,2,0,Fully Paid
3725, 36 months,7.89,116.54,3 years,RENT,42000,0,0,Fully Paid
6000, 36 months,7.9,187.75,2 years,RENT,52000,0,0,Fully Paid
15000, 60 months,14.49,352.85,10+ years,MORTGAGE,67000,0,0,Charged Off
25000, 36 months,20,929.09,2 years,RENT,100000,0,0,Current
8000, 36 months,7.84,250.11,1 year,MORTGAGE,50000,1,0,Current
25500, 60 months,13.49,586.62,5 years,RENT,80000,0,0,Current
8000, 36 months,11.05,262.1,10+ years,RENT,85883,0,1,Current
18000, 36 months,12.69,603.81,10+ years,MORTGAGE,110000,0,0,Fully Paid
9600, 36 months,14.47,330.31,2 years,MORTGAGE,35000,0,0,Current
14000, 60 months,9.93,296.98,2 years,RENT,84000,0,1,Current
3000, 36 months,12.69,100.64,8 years,MORTGAGE,65000,1,0,Fully Paid
14700, 36 months,13.67,500.06,,RENT,35000,0,0,Charged Off
31000, 60 months,16.55,762.95,1 year,RENT,62000,0,0,Fully Paid
10000, 36 months,9.93,322.35,,OWN,49000,0,0,Fully Paid
4275, 36 months,12.69,143.41,4 years,MORTGAGE,73000,0,1,Fully Paid
14550, 60 months,20.99,393.55,10+ years,RENT,120000,0,0,Charged Off
35000, 60 months,9.99,743.48,3 years,OWN,105000,0,0,Fully Paid
12000, 60 months,14.08,279.72,,RENT,75000,0,0,Current
7000, 36 months,16.99,249.54,7 years,RENT,54900,0,0,Fully Paid
35000, 60 months,20,927.29,10+ years,MORTGAGE,65000,1,0,Current
25000, 60 months,14.65,590.17,10+ years,RENT,75000,0,0,Fully Paid
11000, 36 months,8.59,347.71,1 year,MORTGAGE,50500,0,0,Current
28200, 60 months,24.99,827.55,2 years,OWN,155000,0,0,Fully Paid
10000, 36 months,12.99,336.9,7 years,RENT,51064,1,0,Fully Paid
5000, 36 months,12.99,168.45,3 years,RENT,32000,0,0,Fully Paid
9000, 36 months,16.91,320.48,1 year,OWN,38600,0,0,Current
14700, 60 months,19.19,382.87,1 year,OWN,35000,0,0,Current
7500, 36 months,11.55,247.5,10+ years,RENT,86000,0,0,Current
8000, 36 months,16.02,281.34,< 1 year,OWN,33000,0,0,Fully Paid
15000, 36 months,11.49,494.57,4 years,RENT,70000,0,0,Fully Paid
12000, 60 months,15.05,285.8,10+ years,OWN,80000,0,0,Charged Off
15000, 36 months,6.54,460.01,10+ years,MORTGAGE,59500,0,0,Fully Paid
12000, 36 months,6.71,368.94,2 years,RENT,53000,0,0,Current
19075, 60 months,22.4,531.18,2 years,OWN,54000,0,0,Fully Paid
16000, 60 months,14.31,374.87,< 1 year,MORTGAGE,48000,0,1,Charged Off
32000, 60 months,21.99,883.63,7 years,MORTGAGE,72000,0,1,Fully Paid
15000, 60 months,13.59,345.85,10+ years,MORTGAGE,44304,0,0,Fully Paid
24000, 60 months,20.89,647.8,10+ years,OWN,142000,0,0,Current
7000, 36 months,18.25,253.95,8 years,MORTGAGE,35000,0,0,Fully Paid
35000, 36 months,15.05,1214.15,< 1 year,MORTGAGE,93000,1,0,Current
16000, 60 months,14.46,376.12,2 years,RENT,58000,0,0,Current
4900, 36 months,14.08,167.67,3 years,MORTGAGE,35000,0,1,Current
10000, 36 months,7.07,309.1,10+ years,MORTGAGE,52000,0,0,Current
17850, 36 months,11.44,588.12,10+ years,MORTGAGE,50000,0,0,Charged Off
33600, 36 months,5.32,1011.86,7 years,MORTGAGE,600000,0,0,Current
19350, 36 months,10.99,633.41,10+ years,MORTGAGE,44000,0,0,Fully Paid
15000, 36 months,20,557.46,5 years,RENT,95000,1,1,Charged Off
15000, 36 months,18.94,549.39,10+ years,RENT,35000,0,0,Current
7200, 36 months,9.44,230.44,4 years,MORTGAGE,40000,0,0,Current
9100, 36 months,11.98,302.17,10+ years,MORTGAGE,47840,0,0,Current
25000, 36 months,7.91,782.38,,OWN,50000,1,0,Fully Paid
5000, 36 months,6.92,154.21,3 years,RENT,32000,0,0,Charged Off
15000, 36 months,14.65,517.42,10+ years,MORTGAGE,105000,0,3,Charged Off
35000, 60 months,11.98,778.21,3 years,RENT,99225.6,0,0,Current
8000, 36 months,11.39,263.39,9 years,RENT,110000,1,1,Charged Off
35000, 36 months,16.99,1247.68,7 years,RENT,118000,0,0,Charged Off
20000, 36 months,13.99,683.46,2 years,MORTGAGE,92000,0,0,Charged Off
29700, 60 months,24.5,863.05,1 year,MORTGAGE,110000,1,0,Fully Paid
1000, 36 months,8.46,31.55,5 years,RENT,30000,0,0,Current
27000, 60 months,21.85,743.41,1 year,MORTGAGE,48600,0,0,Current
15000, 36 months,6.49,459.67,< 1 year,RENT,75000,0,0,Fully Paid
9600, 36 months,5.42,289.54,10+ years,MORTGAGE,35500,0,0,Fully Paid
32400, 60 months,25.29,956.5,10+ years,MORTGAGE,105000,0,0,Fully Paid
32000, 60 months,10.42,686.54,10+ years,MORTGAGE,200000,0,0,Fully Paid
35000, 60 months,13.58,806.79,2 years,MORTGAGE,152000,0,1,Current
20000, 36 months,12.12,665.44,10+ years,OWN,55000,0,0,Fully Paid
10000, 36 months,13.67,340.18,10+ years,MORTGAGE,60000,0,0,Fully Paid
15000, 36 months,9.17,478.19,9 years,MORTGAGE,82000,0,0,Fully Paid
11075, 36 months,17.57,398.01,2 years,MORTGAGE,67000,3,0,Fully Paid
4000, 36 months,13.59,135.92,10+ years,RENT,45000,0,0,Current
24000, 36 months,12.99,808.54,< 1 year,MORTGAGE,67500,1,0,Fully Paid
30000, 60 months,24.99,880.37,1 year,RENT,84000,0,0,Charged Off
3000, 36 months,11.49,98.92,< 1 year,RENT,23000,2,0,Fully Paid
2000, 36 months,20.89,75.24,10+ years,RENT,38000,0,0,Current
6000, 36 months,16.91,213.65,5 years,MORTGAGE,100000,0,0,Fully Paid
16800, 60 months,13.35,385.27,10+ years,MORTGAGE,150000,0,0,Charged Off
25000, 36 months,6.24,763.28,1 year,MORTGAGE,136000,0,0,Fully Paid
24000, 60 months,14.99,570.84,10+ years,MORTGAGE,55000,2,0,Charged Off
15000, 60 months,17.47,376.59,7 years,MORTGAGE,223922,0,0,Current
10000, 36 months,12.62,335.12,1 year,RENT,30000,0,0,Current
12500, 36 months,23.99,490.35,,OWN,42000,0,0,Charged Off
15000, 60 months,18.94,388.62,2 years,MORTGAGE,30000,0,0,Current
16000, 36 months,11.99,531.36,3 years,RENT,43000,0,0,Current
9600, 36 months,13.66,326.53,4 years,MORTGAGE,40000,0,0,Charged Off
9600, 36 months,10.99,314.25,6 years,MORTGAGE,35000,0,0,Fully Paid
5000, 36 months,13.99,170.87,10+ years,RENT,52000,0,0,Fully Paid
18600, 36 months,11.44,612.83,4 years,RENT,62000,0,0,Current
12000, 36 months,11.67,396.69,,RENT,30000,0,0,Fully Paid
5000, 36 months,13.99,170.87,10+ years,OWN,50000,0,0,Fully Paid
2000, 36 months,10.99,65.47,2 years,RENT,32400,0,0,Fully Paid
10000, 36 months,6.72,307.5,,MORTGAGE,47000,0,0,Current
5600, 36 months,13.66,190.48,< 1 year,RENT,45000,0,0,Fully Paid
10000, 60 months,15.05,238.17,4 years,RENT,83400,3,0,Current
8400, 36 months,13.99,287.06,5 years,MORTGAGE,45000,0,1,Fully Paid
15000, 60 months,24.49,435.8,10+ years,RENT,130000,0,0,Charged Off
12000, 36 months,6.62,368.45,10+ years,MORTGAGE,65000,0,0,Fully Paid
24375, 36 months,15.05,845.57,10+ years,MORTGAGE,53000,1,0,Current
35000, 36 months,18.99,1282.79,9 years,RENT,85000,1,0,Current
30000, 36 months,21.45,1137.2,1 year,RENT,84000,0,0,Late (16-30 days)
8000, 36 months,13.65,272.07,1 year,RENT,20000,0,0,Fully Paid
10000, 60 months,14.46,235.08,6 years,MORTGAGE,42000,2,0,Current
20000, 36 months,19.03,733.43,< 1 year,OWN,35000,0,0,Fully Paid
7000, 36 months,10.99,229.14,,RENT,32000,1,0,Charged Off
10000, 36 months,16.14,352.27,< 1 year,OWN,35000,0,0,Current
29100, 60 months,20.3,775.84,10+ years,RENT,72000,0,0,Charged Off
12600, 60 months,8.18,256.57,10+ years,RENT,98000,1,0,Current
2500, 36 months,11.99,83.03,10+ years,RENT,48500,0,0,Fully Paid
10200, 36 months,23.4,396.97,2 years,RENT,50000,0,0,Current
19475, 60 months,10.07,414.46,< 1 year,MORTGAGE,175000,0,0,Current
12700, 36 months,13.49,430.92,5 years,MORTGAGE,125000,0,0,Fully Paid
3000, 36 months,12.29,100.06,6 years,RENT,72000,0,0,Fully Paid
11000, 36 months,14.99,381.27,10+ years,OWN,35000,0,0,Fully Paid
16000, 36 months,13.56,543.43,5 years,MORTGAGE,106000,0,0,Fully Paid
9000, 36 months,11.47,296.66,< 1 year,OWN,26000,0,0,Fully Paid
6600, 36 months,11.49,217.62,2 years,OWN,167000,0,0,Fully Paid
25000, 36 months,7.89,782.15,5 years,MORTGAGE,80000,0,0,Fully Paid
35000, 60 months,28.72,1105.01,1 year,MORTGAGE,46000,0,0,Current
8000, 36 months,18.99,293.21,2 years,OWN,27000,0,1,Charged Off
10000, 36 months,10.72,326.07,3 years,MORTGAGE,50000,0,0,Current
25000, 60 months,19.52,655.69,< 1 year,MORTGAGE,75000,0,0,Fully Paid
10000, 36 months,14.47,344.07,2 years,RENT,60000,3,0,Fully Paid
5000, 36 months,14.52,172.16,10+ years,MORTGAGE,74000,0,0,Current
31775, 60 months,16.02,773.05,3 years,RENT,68640,1,0,Current
17600, 36 months,16.99,627.41,,MORTGAGE,40000,0,1,Charged Off
10000, 36 months,13.56,339.65,10+ years,RENT,158000,0,0,Current
5000, 36 months,11.31,164.43,2 years,RENT,35000,0,0,Current
13300, 36 months,19.03,487.73,10+ years,RENT,35000,0,1,Fully Paid
2000, 36 months,13.59,67.96,10+ years,RENT,14000,0,0,Current
7575, 36 months,11.44,249.58,,MORTGAGE,48000,0,0,Fully Paid
6800, 36 months,17.47,244.04,7 years,RENT,82000,0,1,Fully Paid
10000, 60 months,18.55,256.94,10+ years,OWN,59000,0,0,Late (31-120 days)
9200, 36 months,13.06,310.26,10+ years,OWN,35000,0,1,Current
6400, 36 months,7.97,200.47,5 years,MORTGAGE,114000,0,0,Current
22000, 60 months,18.45,564.06,10+ years,OWN,70000,0,0,Fully Paid
17500, 60 months,11.8,387.52,4 years,RENT,50000,0,0,Current
12800, 36 months,10.64,416.88,2 years,RENT,48000,0,0,Fully Paid
10000, 60 months,17.47,251.06,5 years,MORTGAGE,80000,0,0,Current
30000, 60 months,14.99,713.55,9 years,MORTGAGE,105000,0,0,Current
25000, 60 months,19.99,662.21,10+ years,MORTGAGE,125000,1,0,Fully Paid
13000, 36 months,7.84,406.42,5 years,RENT,51000,0,0,Current
6000, 36 months,6.24,183.19,10+ years,MORTGAGE,40000,0,0,Fully Paid
14000, 36 months,11.55,462,10+ years,RENT,150000,0,0,Current
7000, 36 months,18.55,255.01,5 years,RENT,32000,0,0,Fully Paid
16000, 60 months,9.17,333.46,10+ years,RENT,145000,0,0,Fully Paid
10200, 60 months,17.99,258.96,7 years,MORTGAGE,75000,0,0,Charged Off
8000, 36 months,7.84,250.11,10+ years,MORTGAGE,120000,0,0,Current
8875, 36 months,15.61,310.32,2 years,RENT,26000,0,0,Charged Off
7500, 36 months,17.99,271.11,7 years,MORTGAGE,150000,0,0,Fully Paid
35000, 60 months,16.99,869.66,10+ years,RENT,80000,0,0,Fully Paid
18325, 36 months,15.31,638.03,6 years,RENT,45000,0,0,Current
20000, 60 months,7.97,405.25,10+ years,RENT,104000,0,0,Current
7500, 36 months,12.74,251.77,5 years,OWN,65000,0,0,Current
10000, 36 months,10.91,326.97,< 1 year,OWN,42000,0,0,Current
13825, 36 months,14.16,473.59,10+ years,MORTGAGE,50984,0,0,Fully Paid
6500, 36 months,11.99,215.87,1 year,RENT,38000,0,0,Current
32500, 36 months,13.44,1101.96,,MORTGAGE,65000,0,0,Fully Paid
18000, 36 months,16.99,641.66,8 years,MORTGAGE,78000,0,0,Charged Off
35000, 36 months,24.74,1386.79,10+ years,OWN,140000,0,0,Current
10400, 60 months,16.99,258.42,10+ years,MORTGAGE,96124,0,0,Current
17500, 60 months,16.29,428.27,< 1 year,RENT,78000,0,1,Fully Paid
1000, 36 months,23.99,39.23,10+ years,RENT,47000,0,0,Fully Paid
40000, 36 months,5.32,1204.6,10+ years,MORTGAGE,219420,0,0,Fully Paid
14000, 60 months,11.44,307.48,1 year,MORTGAGE,65000,0,0,Current
12000, 36 months,8.46,378.59,6 years,RENT,60000,0,0,Current
14000, 36 months,9.99,451.68,10+ years,OWN,74000,0,0,Fully Paid
12825, 60 months,12.99,291.75,,RENT,28000,0,0,Current
23000, 36 months,13.18,776.96,1 year,OWN,140000,0,0,Fully Paid
16425, 60 months,15.8,397.69,2 years,RENT,37500,0,0,Fully Paid
20000, 36 months,15.05,693.8,4 years,MORTGAGE,106000,0,0,Current
3000, 36 months,15.05,104.08,2 years,MORTGAGE,41600,1,0,Fully Paid
10000, 60 months,12.73,226.16,,MORTGAGE,30000,0,0,Fully Paid
